"feature","method","group1","group2","p_values","adj_method","p_adjust"
"ko00780","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.210688469433002,"BH",0.298347175693448
"ko00511","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0825483209839675,"BH",0.156237797764777
"ko00970","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0123753482351069,"BH",0.0547369388927148
"ko00030","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00491499045132985,"BH",0.0452119292943344
"ko04972","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0348539673349476,"BH",0.0878138917270108
"ko00230","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.00801445520479781,"BH",0.0487859515271536
"ko04122","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0172681024464665,"BH",0.0616636391550935
"ko00540","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0929506303372466,"BH",0.170117191371942
"ko05014","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.428502717396568,"BH",0.517940979283079
"ko00660","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0353924641460483,"BH",0.0882021693820547
"ko03020","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0105683539656722,"BH",0.051905333401023
"ko00982","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.145490095367393,"BH",0.233265111580778
"ko03010","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0118141344589757,"BH",0.0547369388927148
"ko00140","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0961386362153042,"BH",0.173496701635061
"ko05100","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.414202086815539,"BH",0.50730115791097
"ko00860","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0868734153161717,"BH",0.162052332416705
"ko05410","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0388354750175703,"BH",0.094176026917608
"ko00330","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0322480717340241,"BH",0.0857003550191874
"ko00908","ALDEx2_Welch's t test","Pro-inflammatory","Pro-survival",0.0576953071854042,"BH",0.1216618434127
